pri-miRNA	disease	regulation
hsa-mir-10a	Carcinoma, Hepatocellular	-1
hsa-mir-122	Carcinoma, Hepatocellular	-1
hsa-mir-122	Carcinoma, Hepatocellular	-1
hsa-mir-122	Carcinoma, Hepatocellular	-1
hsa-mir-122	Carcinoma, Hepatocellular	-1
hsa-mir-122	Carcinoma, Hepatocellular	-1
hsa-mir-122	Carcinoma, Hepatocellular	-1
hsa-mir-122	Carcinoma, Hepatocellular	-1
hsa-mir-122	Carcinoma, Hepatocellular	-1
hsa-mir-1228	Carcinoma, Hepatocellular	-1
hsa-mir-1228	Carcinoma, Hepatocellular	-1
hsa-mir-1246	Carcinoma, Hepatocellular	-1
hsa-mir-1249	Carcinoma, Hepatocellular	-1
hsa-mir-125a	Carcinoma, Hepatocellular	-1
hsa-mir-125a	Carcinoma, Hepatocellular	-1
hsa-mir-125b	Carcinoma, Hepatocellular	-1
hsa-mir-125b	Carcinoma, Hepatocellular	-1
hsa-mir-1275	Carcinoma, Hepatocellular	-1
hsa-mir-129	Carcinoma, Hepatocellular	-1
hsa-mir-1290	Carcinoma, Hepatocellular	-1
hsa-mir-129	Carcinoma, Hepatocellular	-1
hsa-mir-129	Carcinoma, Hepatocellular	-1
hsa-mir-130a	Carcinoma, Hepatocellular	-1
hsa-mir-133b	Carcinoma, Hepatocellular	-1
hsa-mir-134	Carcinoma, Hepatocellular	-1
hsa-mir-138	Carcinoma, Hepatocellular	-1
hsa-mir-138	Carcinoma, Hepatocellular	-1
hsa-mir-139	Carcinoma, Hepatocellular	-1
hsa-mir-139	Carcinoma, Hepatocellular	-1
hsa-mir-142	Carcinoma, Hepatocellular	-1
hsa-mir-143	Carcinoma, Hepatocellular	-1
hsa-mir-143	Carcinoma, Hepatocellular	-1
hsa-mir-144	Carcinoma, Hepatocellular	-1
hsa-mir-145	Carcinoma, Hepatocellular	-1
hsa-mir-145	Carcinoma, Hepatocellular	-1
hsa-mir-145	Carcinoma, Hepatocellular	-1
hsa-mir-145	Carcinoma, Hepatocellular	-1
hsa-mir-146	Carcinoma, Hepatocellular	-1
hsa-mir-146a	Carcinoma, Hepatocellular	-1
hsa-mir-146a	Carcinoma, Hepatocellular	-1
hsa-mir-146a	Carcinoma, Hepatocellular	-1
hsa-mir-148a	Carcinoma, Hepatocellular	-1
hsa-mir-148a	Carcinoma, Hepatocellular	-1
hsa-mir-148b	Carcinoma, Hepatocellular	-1
hsa-mir-150	Carcinoma, Hepatocellular	-1
hsa-mir-151a	Carcinoma, Hepatocellular	-1
hsa-mir-155	Carcinoma, Hepatocellular	-1
hsa-mir-15a	Carcinoma, Hepatocellular	-1
hsa-mir-15a	Carcinoma, Hepatocellular	-1
hsa-mir-16	Carcinoma, Hepatocellular	-1
hsa-mir-16	Carcinoma, Hepatocellular	-1
hsa-mir-16	Carcinoma, Hepatocellular	-1
hsa-mir-181c	Carcinoma, Hepatocellular	-1
hsa-mir-182	Carcinoma, Hepatocellular	-1
hsa-mir-187	Carcinoma, Hepatocellular	-1
hsa-mir-18a	Carcinoma, Hepatocellular	-1
hsa-mir-18b	Carcinoma, Hepatocellular	-1
hsa-mir-190a	Carcinoma, Hepatocellular	-1
hsa-mir-193a	Carcinoma, Hepatocellular	-1
hsa-mir-195	Carcinoma, Hepatocellular	-1
hsa-mir-195	Carcinoma, Hepatocellular	-1
hsa-mir-197	Carcinoma, Hepatocellular	-1
hsa-mir-198	Carcinoma, Hepatocellular	-1
hsa-mir-198	Carcinoma, Hepatocellular	-1
hsa-mir-199a	Carcinoma, Hepatocellular	-1
hsa-mir-199a	Carcinoma, Hepatocellular	-1
hsa-mir-199a	Carcinoma, Hepatocellular	-1
hsa-mir-199a	Carcinoma, Hepatocellular	-1
hsa-mir-199a	Carcinoma, Hepatocellular	-1
hsa-mir-199a	Carcinoma, Hepatocellular	-1
hsa-mir-199a	Carcinoma, Hepatocellular	-1
hsa-mir-199b	Carcinoma, Hepatocellular	-1
hsa-mir-19a	Carcinoma, Hepatocellular	-1
hsa-mir-200a	Carcinoma, Hepatocellular	-1
hsa-mir-200a	Carcinoma, Hepatocellular	-1
hsa-mir-200c	Carcinoma, Hepatocellular	-1
hsa-mir-200c	Carcinoma, Hepatocellular	-1
hsa-mir-202	Carcinoma, Hepatocellular	-1
hsa-mir-204	Carcinoma, Hepatocellular	-1
hsa-mir-208a	Carcinoma, Hepatocellular	-1
hsa-mir-208b	Carcinoma, Hepatocellular	-1
hsa-mir-21	Carcinoma, Hepatocellular	-1
hsa-mir-21	Carcinoma, Hepatocellular	-1
hsa-mir-21	Carcinoma, Hepatocellular	-1
hsa-mir-21	Carcinoma, Hepatocellular	-1
hsa-mir-2110	Carcinoma, Hepatocellular	-1
hsa-mir-2116	Carcinoma, Hepatocellular	-1
hsa-mir-212	Carcinoma, Hepatocellular	-1
hsa-mir-214	Carcinoma, Hepatocellular	-1
hsa-mir-214	Carcinoma, Hepatocellular	-1
hsa-mir-214	Carcinoma, Hepatocellular	-1
hsa-mir-214	Carcinoma, Hepatocellular	-1
hsa-mir-217	Carcinoma, Hepatocellular	-1
hsa-mir-22	Carcinoma, Hepatocellular	-1
hsa-mir-221	Carcinoma, Hepatocellular	-1
hsa-mir-221	Carcinoma, Hepatocellular	-1
hsa-mir-221	Carcinoma, Hepatocellular	-1
hsa-mir-222	Carcinoma, Hepatocellular	-1
hsa-mir-222	Carcinoma, Hepatocellular	-1
hsa-mir-223	Carcinoma, Hepatocellular	-1
hsa-mir-223	Carcinoma, Hepatocellular	-1
hsa-mir-223	Carcinoma, Hepatocellular	-1
hsa-mir-223	Carcinoma, Hepatocellular	-1
hsa-mir-224	Carcinoma, Hepatocellular	-1
hsa-mir-24	Carcinoma, Hepatocellular	-1
hsa-mir-24	Carcinoma, Hepatocellular	-1
hsa-mir-26a	Carcinoma, Hepatocellular	-1
hsa-mir-26a	Carcinoma, Hepatocellular	-1
hsa-mir-296	Carcinoma, Hepatocellular	-1
hsa-mir-296	Carcinoma, Hepatocellular	-1
hsa-mir-29c	Carcinoma, Hepatocellular	-1
hsa-mir-30b	Carcinoma, Hepatocellular	-1
hsa-mir-30d	Carcinoma, Hepatocellular	-1
hsa-mir-320a	Carcinoma, Hepatocellular	-1
hsa-mir-320b	Carcinoma, Hepatocellular	-1
hsa-mir-320b	Carcinoma, Hepatocellular	-1
hsa-mir-320c	Carcinoma, Hepatocellular	-1
hsa-mir-320c	Carcinoma, Hepatocellular	-1
hsa-mir-320c	Carcinoma, Hepatocellular	-1
hsa-mir-320d	Carcinoma, Hepatocellular	-1
hsa-mir-320e	Carcinoma, Hepatocellular	-1
hsa-mir-323b	Carcinoma, Hepatocellular	-1
hsa-mir-324	Carcinoma, Hepatocellular	-1
hsa-mir-326	Carcinoma, Hepatocellular	-1
hsa-mir-330	Carcinoma, Hepatocellular	-1
hsa-mir-33a	Carcinoma, Hepatocellular	-1
hsa-mir-33a	Carcinoma, Hepatocellular	-1
hsa-mir-33a	Carcinoma, Hepatocellular	-1
